,Synset Source,W_Num Source,Synset Target,W_Num Target
0,200001740,0,200004227,0
1,200001740,0,200005041,0
2,200005815,0,200006238,0
3,200005815,0,202200341,0
4,200010435,0,202122522,0
5,200014742,1,200015806,1
6,200014742,1,201177314,0
7,200014742,1,201177505,0
8,200015303,0,200017282,0
9,200016380,0,200017282,0
10,200024649,1,200024814,1
11,200031820,1,200802136,0
12,200031820,1,200851933,0
13,200033955,0,200742149,0
14,200036362,0,200025034,1
15,200044149,1,200046534,0
16,200046534,0,200044149,1
17,200046534,0,200045346,1
18,200067545,0,200046022,0
19,200101956,1,200006238,0
20,200101956,1,202200341,0
21,200102974,1,201827745,0
22,200135857,1,200429060,0
23,200135857,1,202539788,0
24,200138508,1,201510399,0
25,200138508,1,201510576,0
26,200146138,0,200205598,1
27,200146138,0,201808626,0
28,200147815,0,200204391,0
29,200147815,0,200334186,0
30,200147815,0,200397405,0
31,200147815,0,201113806,1
32,200147815,0,201997862,0
33,200147815,0,202530003,0
34,200147815,0,202537642,0
35,200149583,0,200248659,0
36,200149583,0,201108627,0
37,200149583,0,201111028,0
38,200173338,0,200641252,0
39,200181664,0,200181559,0
40,200217152,0,200751131,0
41,200230746,1,202540347,0
42,200246217,0,201139623,0
43,200262703,0,200764902,0
44,200277935,0,200621058,0
45,200277935,0,201463520,0
46,200292507,1,200778275,0
47,200298556,0,201994288,1
48,200298896,0,200407848,0
49,200298896,0,200677683,0
50,200298896,0,200724150,0
51,200298896,0,200851239,1
52,200298896,0,201643657,0
53,200298896,0,202717831,0
54,200305109,0,200437449,0
55,200311113,0,202516255,0
56,200314272,0,202676496,0
57,200319214,0,202153387,1
58,200328802,0,200436404,0
59,200334186,0,200209174,1
60,200339464,1,200345508,0
61,200339464,1,200426749,0
62,200358431,0,200224168,0
63,200358431,0,200242026,0
64,200358431,0,200427683,0
65,200392960,0,200305417,0
66,200392960,0,202683671,0
67,200394813,0,200620379,0
68,200416705,0,202672540,0
69,200421408,0,200156485,1
70,200452512,0,201194938,0
71,200452512,0,201695567,0
72,200461493,0,202148109,0
73,200473322,0,200236592,0
74,200473322,0,200429060,0
75,200473322,0,200472671,1
76,200481941,1,200486703,0
77,200508032,1,200234725,1
78,200519056,0,201763101,0
79,200607780,0,200611256,1
80,200617748,1,200618057,0
81,200622384,0,200621653,0
82,200622384,0,200634906,0
83,200623151,0,202660819,0
84,200628491,1,200629889,0
85,200628491,1,200630380,0
86,200628491,1,201634142,0
87,200637259,1,200634906,0
88,200637259,1,200712708,0
89,200640828,1,202645007,1
90,200672433,0,200672017,0
91,200672433,0,200673766,0
92,200704249,0,202640226,0
93,200715868,0,202629390,0
94,200721437,0,200598954,0
95,200752493,1,201469770,1
96,200752493,1,202384686,1
97,200752493,1,202486693,0
98,200759269,0,200894221,0
99,200779601,0,200779360,1
100,200792471,1,201097960,0
101,200792471,1,201629958,0
102,200792471,1,201646866,0
103,200853633,1,200851933,0
104,200889947,1,200884814,0
105,200913065,0,200912048,1
106,200913065,0,200975584,0
107,200918580,1,201139104,0
108,200941990,0,200916123,0
109,200941990,0,201051956,0
110,200947857,1,200947717,0
111,200947857,1,201101313,0
112,200952524,1,200825648,0
113,200954422,1,202193194,0
114,200962447,1,202542141,0
115,200996485,0,200966152,0
116,200996485,0,202343816,0
117,201002481,1,201002618,0
118,201040550,0,201860620,0
119,201072949,0,201081652,0
120,201078783,1,201084048,0
121,201086103,1,201081505,0
122,201090335,0,201131197,0
123,201130607,1,201389942,0
124,201136614,0,201136964,0
125,201156834,0,201197980,0
126,201158572,0,201157517,0
127,201166351,1,201167537,0
128,201166351,1,201167640,0
129,201166351,1,201196802,0
130,201167981,0,201167537,0
131,201167981,0,201167640,0
132,201169704,0,201197980,0
133,201170052,0,201175937,0
134,201170052,0,201202374,0
135,201173933,1,201174099,0
136,201206218,0,201979702,0
137,201212230,0,200968211,0
138,201212230,0,201392237,0
139,201214265,0,201214786,0
140,201214265,0,201312371,0
141,201214265,0,201434278,0
142,201214265,0,201572510,0
143,201214265,0,202492584,0
144,201214265,0,202569630,0
145,201235769,0,201240308,0
146,201238640,0,201412346,0
147,201238640,0,201414088,0
148,201238640,0,201909978,1
149,201239619,0,201240308,0
150,201239619,0,201417705,1
151,201249724,0,201232738,0
152,201249724,0,201254013,0
153,201249724,0,201548718,1
154,201252971,0,202516255,0
155,201255967,0,202467662,0
156,201256600,0,201259458,0
157,201257173,0,201257507,0
158,201257173,0,201258091,0
159,201257173,0,201299268,0
160,201259458,0,201256600,0
161,201260428,0,201260685,0
162,201261018,0,200677445,0
163,201269521,0,202158034,0
164,201281611,0,201281343,0
165,201285440,0,201286913,0
166,201289155,0,200768630,0
167,201290255,0,202705535,1
168,201290422,0,202716165,1
169,201306853,0,202284662,0
170,201306853,0,202290029,0
171,201309143,0,201549719,0
172,201309701,0,201173057,0
173,201309701,0,201312261,0
174,201309701,0,201313923,0
175,201312810,1,201174099,0
176,201312810,1,202290029,0
177,201314738,0,201314440,0
178,201323958,1,201327582,0
179,201339294,0,202172534,0
180,201340283,0,200715541,0
181,201345109,0,201347678,0
182,201345109,0,201587062,0
183,201348174,1,201347678,0
184,201348174,1,201348452,0
185,201349130,0,201349318,0
186,201350449,0,201281611,0
187,201350449,0,201375637,0
188,201350449,0,201468058,1
189,201350449,0,201506157,0
190,201357429,0,201328513,1
191,201357831,0,200715541,0
192,201360571,0,201360715,0
193,201365549,0,201366426,0
194,201369346,0,201254324,1
195,201369346,0,201259691,0
196,201369346,0,201552390,0
197,201369346,0,201562061,0
198,201369758,1,200643473,1
199,201369758,1,201259458,0
200,201369758,1,201560984,1
201,201369758,1,201566185,0
202,201369758,1,201657977,0
203,201370561,0,201371651,0
204,201370561,0,201586738,0
205,201370561,0,202401809,1
206,201372556,0,202401809,1
207,201378556,0,201360715,0
208,201378556,0,202028994,0
209,201378556,0,202060141,0
210,201378556,0,202077148,0
211,201380638,0,201976089,0
212,201382083,0,200598954,0
213,201382083,0,200677203,0
214,201382083,0,200677544,0
215,201382083,0,201592456,0
216,201382083,0,201957107,0
217,201382083,0,202107248,1
218,201382083,0,202117955,0
219,201391806,0,201391946,0
220,201392237,0,201157517,0
221,201392237,0,201212230,0
222,201392237,0,201392918,0
223,201392237,0,201548718,1
224,201394200,0,201274254,0
225,201410223,0,201258302,0
226,201417868,1,201666002,1
227,201437254,0,200949974,0
228,201438902,0,200967625,0
229,201438902,0,201295275,0
230,201439190,0,201998793,0
231,201439745,0,202304648,0
232,201440139,0,200744572,0
233,201445932,1,201445756,0
234,201447868,0,201349318,0
235,201447868,0,201375637,0
236,201447868,0,201675780,0
237,201448100,0,201351170,0
238,201448100,0,201449053,0
239,201448100,0,201453718,0
240,201448100,0,201505254,1
241,201448100,0,201592456,0
242,201448100,0,201661804,1
243,201449796,0,200804476,0
244,201453433,1,202677797,0
245,201460029,0,200677544,0
246,201483779,1,201955009,0
247,201486151,0,202291258,0
248,201493741,0,200021065,1
249,201493741,0,200213794,0
250,201493741,0,200486018,0
251,201493741,0,201327133,0
252,201493741,0,201355906,0
253,201493741,0,201569017,0
254,201493741,0,201790739,1
255,201493741,0,201800422,0
256,201493741,0,201819387,0
257,201493741,0,202760495,1
